,SalePrice
254,11.884495917930655
1066,12.08954444723597
638,11.350418300109132
799,12.07254696717504
380,11.751950239425476
303,11.917730355182513
86,12.066816325306588
1385,11.74006900564972
265,12.075400019877522
793,12.323860125621126
1445,11.767575435251748
808,11.982622797311857
1099,11.964007453736912
605,12.230770136157428
701,11.849404844423074
221,12.206077645517674
113,12.28765724080691
548,11.736077016252437
1073,11.979805470779858
174,12.122696471358964
514,11.477308649967686
1350,12.206077645517674
1145,11.91170829631447
965,12.094587859196112
936,12.127575825689417
285,12.011886987792716
1310,12.721888795877375
342,11.37940550085183
1165,12.359527368950229
31,11.914054519303125
873,11.798111925972618
210,11.49273296168228
924,12.242891437918386
405,11.918397239722838
770,11.812296455066814
381,12.142871895843887
889,11.915058360753719
1200,11.6617850286409
188,11.940399914116648
893,12.013706813470414
1327,11.779136168550774
420,12.237091546357338
578,11.891368749982085
83,11.748005492256807
1274,11.842236406331555
48,11.635151947212842
155,11.277215789596893
973,12.111767460549332
1110,12.144202560946876
950,11.767575435251748
1030,11.982935344196433
1435,12.066816325306588
1196,12.29779001527865
1442,12.644330802262578
481,12.832013750189885
179,11.51293546492023
859,12.429220196836383
1213,11.884495917930655
583,12.691583538230217
477,12.847929163278053
1405,12.524530013005734
1146,12.100717685412471
1166,12.41044511731981
346,11.928347504569842
1214,11.80932691294063
1137,11.451060699493427
1365,12.283038316285214
654,12.765691290604371
988,12.180759965737863
243,11.695255355062795
1342,12.339295865674435
1057,12.421188057397055
1418,11.728044909070785
1023,12.160033942617156
810,12.10625783509458
1384,11.561725152903833
626,11.848690308590857
813,11.969723533345908
839,11.779136168550774
370,12.057578437658945
54,11.775297421715827
534,12.08954444723597
785,11.992266613576142
312,11.694421681264394
1174,12.384223015005313
109,12.154784614286667
430,11.355113089309977
100,12.230770136157428
513,11.80560254159177
1190,12.031725210748633
266,12.128116509451258
1290,12.103491596905931
296,11.931642378754141
506,12.278397958261774
901,11.938199736300925
809,11.571203807011969
377,12.73670383776449
286,11.976665770490767
1400,11.695255355062795
1048,11.652696102959753
126,11.759793355371237
618,12.659737267217572
292,11.782960235741939
527,13.008661502470739
1255,11.755879486687116
482,11.951186847493476
355,12.086731521684555
170,11.763691965388299
1195,12.07824495582233
661,12.904209855160254
1234,11.775297421715827
209,11.884495917930655
485,11.898194668458823
140,11.652696102959753
1189,12.149507585033072
943,11.870606902224587
621,12.388398368982115
1157,12.345838935721968
1322,12.154784614286667
704,12.269052139516223
1323,11.320565693461432
199,12.524166311833152
493,11.951186847493476
664,12.955129822091815
1339,11.763691965388299
1058,12.721888795877375
1187,12.476103599529843
10,11.771443882099637
147,12.312686874960354
764,12.506180941677357
282,12.242891437918386
298,12.07254696717504
918,12.380030154325457
291,11.819681958463892
819,12.319405795112926
573,12.04355959836804
1454,12.128116509451258
549,12.479913113434042
462,11.04106411122238
129,11.918397239722838
845,12.049424683420915
331,11.842236406331555
323,11.745433036677353
650,12.235393555399902
439,11.608244735642321
798,13.091906231773164
135,12.066816325306588
1452,11.884495917930655
762,12.279327754099118
932,12.676079399771027
435,12.264346270624157
629,12.034696963475044
1210,12.149507585033072
1118,11.849404844423074
1084,12.141539457711714
158,12.448630513463613
967,11.813037464800539
1259,11.92504173829169
551,11.630717389475995
497,12.122696471358964
1031,12.190964083849375
1262,11.992266613576142
1013,11.350418300109132
1311,12.220966184120165
566,12.691583538230217
610,12.653961664405365
1278,12.37581963951765
1263,12.103491596905931
816,11.827743504053695
438,11.411457364027745
940,11.924379271639218
96,12.273735966890268
560,11.707677772181546
1182,13.521140839642674
471,12.154784614286667
1004,12.10625783509458
410,11.002116507732017
963,12.384223015005313
582,11.682676678340282
156,11.603688960617083
594,11.608244735642321
617,11.566475710526321
447,12.20557752297723
1205,12.513193308436527
861,11.78676973513378
1010,11.813037464800539
390,11.686887175419702
1409,12.278397958261774
847,11.80186424743109
1284,12.037659911047468
615,11.83138646878959
613,11.898194668458823
1303,12.354496960983985
486,11.957617696467539
561,12.04355959836804
308,11.320565693461432
461,11.951186847493476
1142,12.959540872420414
730,12.373707715234994
1155,12.292254928916668
1203,12.269052139516223
700,12.652362948153474
